dataset,hidden_category,validated,query_idx,query_text,full_text,query_image_ref,target_image_ref,aggregate_label,aggregate_detail_label,aggregate_legacy_category,best_retriever_multimodal,best_retriever_text_only,best_retriever_image_only,support_multimodal,support_text_only,support_image_only,support_either_unimodal,rank_multimodal,rank_text_only,rank_image_only,hit_multimodal,hit_text_only,hit_image_only,invalid_text_query,invalid_image_query,invalid_target_image,query_too_broad,note
fashioniq,composition_required,true,10,Its blue with higher neckline and is more blue and higher at the neckline.,"Find a fashion image that aligns with the reference image and style note.
Its blue with higher neckline and is more blue and higher at the neckline.",mbeir_images/fashioniq_images/B009KQVCAM.jpg,mbeir_images/fashioniq_images/B00A0I6GSC.jpg,composition_required,composition_required,multimodal_needed,rzen_embed,vlm2vec_v2,lamra,5,0,0,0,1,150,27,true,false,false,false,false,false,false,
fashioniq,composition_required,true,11,Is softly colored and has no shoulder straps and looser skirt.,"Find a fashion image that aligns with the reference image and style note.
Is softly colored and has no shoulder straps and looser skirt.",mbeir_images/fashioniq_images/B00FHFMMMW.jpg,mbeir_images/fashioniq_images/B00F5DPMIM.jpg,composition_required,composition_required,multimodal_needed,rzen_embed,mmembed,gemini_embedding_2,7,0,0,0,2,33,47,true,false,false,false,false,false,false,
fashioniq,composition_required,true,34,Is light blue in color and has more blue.,"Find a fashion image that aligns with the reference image and style note.
Is light blue in color and has more blue.",mbeir_images/fashioniq_images/B00B7WGMXE.jpg,mbeir_images/fashioniq_images/B0097JDP3Y.jpg,composition_required,composition_required,multimodal_needed,gme_qwen2vl_retriever_2,gemini_embedding_2,voyage_multimodal_35,11,0,0,0,1,31,60,true,false,false,false,false,false,false,
fashioniq,composition_required,true,39,Is brighter and longer and is pink and longer.,"Find a fashion image that aligns with the reference image and style note.
Is brighter and longer and is pink and longer.",mbeir_images/fashioniq_images/B00B53A556.jpg,mbeir_images/fashioniq_images/B008N2O3NW.jpg,composition_required,composition_required,multimodal_needed,qwen3vl8b_vllm,voyage_multimodal_35,mmembed,3,0,0,0,4,66,357,true,false,false,false,false,false,false,
fashioniq,composition_required,true,46,Is orange with thinner straps and is not patterned and orange.,"Find a fashion image that aligns with the reference image and style note.
Is orange with thinner straps and is not patterned and orange.",mbeir_images/fashioniq_images/B009PXRLIW.jpg,mbeir_images/fashioniq_images/B00C93VT5G.jpg,composition_required,composition_required,multimodal_needed,voyage_multimodal_35,lamra_qwen25vl,qwen3vl8b_vllm,10,0,0,0,1,16,215,true,false,false,false,false,false,false,
fashioniq,composition_required,true,51,Less full skirt with slit to thigh and has a slit and is more form fitting.,"Find a fashion image that aligns with the reference image and style note.
Less full skirt with slit to thigh and has a slit and is more form fitting.",mbeir_images/fashioniq_images/B00967AMPG.jpg,mbeir_images/fashioniq_images/B00AWM67OE.jpg,composition_required,composition_required,multimodal_needed,gme_qwen2vl_retriever_2,rzen_embed,qwen3vl8b_vllm,9,0,0,0,1,54,74,true,false,false,false,false,false,false,
fashioniq,composition_required,true,56,Is darker and longer and is plain black with waterfall hem and is more dressy.,"Find a fashion image that aligns with the reference image and style note.
Is darker and longer and is plain black with waterfall hem and is more dressy.",mbeir_images/fashioniq_images/B00AWKKHOC.jpg,mbeir_images/fashioniq_images/B0087YZPJ2.jpg,composition_required,composition_required,multimodal_needed,gemini_embedding_2,gemini_embedding_2,vlm2vec_v2,5,0,0,0,4,42,112,true,false,false,false,false,false,false,
fashioniq,composition_required,true,66,Is offwhite with black belt and longer seethrough skirt and is white with a black belr.,"Find a fashion image that aligns with the reference image and style note.
Is offwhite with black belt and longer seethrough skirt and is white with a black belr.",mbeir_images/fashioniq_images/B0094QX5SK.jpg,mbeir_images/fashioniq_images/B00B1AVTWG.jpg,composition_required,composition_required,multimodal_needed,lamra_qwen25vl,gemini_embedding_2,voyage_multimodal_35,4,0,0,0,1,13,1498,true,false,false,false,false,false,false,
fashioniq,composition_required,true,71,Is grey with vertical designs and is darker in color.,"Find a fashion image that aligns with the reference image and style note.
Is grey with vertical designs and is darker in color.",mbeir_images/fashioniq_images/B007MLVQ1C.jpg,mbeir_images/fashioniq_images/B005J92XW0.jpg,composition_required,composition_required,multimodal_needed,gemini_embedding_2,qwen3vl8b_vllm,,3,0,0,0,1,141,76,true,false,false,false,false,false,false,
fashioniq,composition_required,true,73,Is shorter with thin straps and is black and more wide.,"Find a fashion image that aligns with the reference image and style note.
Is shorter with thin straps and is black and more wide.",mbeir_images/fashioniq_images/B004OLGO24.jpg,mbeir_images/fashioniq_images/B002FOR462.jpg,composition_required,composition_required,multimodal_needed,lamra,rzen_embed,mmembed,3,0,0,0,4,170,330,true,false,false,false,false,false,false,
