query_idx,query_id,aggregate_label,aggregate_detail_label,legacy_category,query_text,query_image_ref,primary_pos_cand_id,rank_multimodal,rank_text_only,rank_image_only,best_retriever_multimodal,best_retriever_text_only,best_retriever_image_only,support_multimodal,support_text_only,support_image_only,support_either_unimodal
2,8:3,composition_required,composition_required,multimodal_needed,"Two animals that are of a different species from the first one, and no human appearing.",mbeir_images/cirr_images/dev/dev-1042-0-img0.jpg,8:4118,2,57,45,gme_qwen2vl_retriever_2,mmembed,vlm2vec_v2,4,0,0,0
3,8:4,unresolved,unresolved,multimodal_needed,Human and one animal from a different species from the last two.,mbeir_images/cirr_images/dev/dev-1044-1-img1.jpg,8:9462,18,181,86,lamra,e5_omni,qwen3vl2b_vllm,0,0,0,0
4,8:5,composition_required,composition_required,multimodal_needed,Mae the human facing the camera with less gear.,mbeir_images/cirr_images/dev/dev-1042-2-img1.jpg,8:20209,8,12,29,mmembed,mmembed,mmembed,1,0,0,0
5,8:6,unresolved,unresolved,multimodal_needed,"Same breed dog, focus on its head.",mbeir_images/cirr_images/dev/dev-150-2-img1.jpg,8:12040,15,70,36,qwen3vl8b_vllm,vlm2vec_v2,qwen3vl2b_vllm,0,0,0,0
6,8:7,composition_required,composition_required,multimodal_needed,Two dogs of the same breed on the floor.,mbeir_images/cirr_images/dev/dev-150-2-img1.jpg,8:20946,2,14,13,gme_qwen2vl_retriever_2,mmembed,gemini_embedding_2,7,0,0,0
8,8:9,unresolved,unresolved,multimodal_needed,Remove the lemon.,mbeir_images/cirr_images/dev/dev-104-0-img0.jpg,8:20266,17,654,18,qwen3vl8b_vllm,gme_qwen2vl_retriever_2,qwen3vl8b_vllm,0,0,0,0
11,8:12,unresolved,unresolved,multimodal_needed,Change the anmial type but preserve the environment.,mbeir_images/cirr_images/dev/dev-940-1-img0.jpg,8:19808,24,881,62,qwen3vl2b_vllm,lamra,vlm2vec_v2,0,0,0,0
12,8:13,unresolved,unresolved,multimodal_needed,Shot from an angle so that the surface is visible.,mbeir_images/cirr_images/dev/dev-1042-0-img1.jpg,8:16401,63,69,116,mmembed,qwen3vl2b_vllm,e5_omni,0,0,0,0
13,8:14,unresolved,unresolved,multimodal_needed,More focused on its head.,mbeir_images/cirr_images/dev/dev-12-3-img0.jpg,8:6437,129,247,250,mmembed,gemini_embedding_2,gme_qwen2vl_retriever_2,0,0,0,0
17,8:18,unresolved,unresolved,multimodal_needed,Put the human in background.,mbeir_images/cirr_images/dev/dev-167-3-img0.jpg,8:6862,16,483,103,lamra_qwen25vl,rzen_embed,lamra,0,0,0,0
21,8:22,unresolved,unresolved,multimodal_needed,Make them sit on the green grass.,mbeir_images/cirr_images/dev/dev-115-1-img0.jpg,8:2276,359,1751,268,mmembed,lamra_qwen25vl,e5_omni,0,0,0,0
23,8:24,composition_required,composition_required,multimodal_needed,Make it lay on the surface.,mbeir_images/cirr_images/dev/dev-717-1-img0.jpg,8:17572,1,201,25,lamra_qwen25vl,mmembed,voyage_multimodal_35,4,0,0,0
26,8:27,unresolved,unresolved,multimodal_needed,Brighter sunshine.,mbeir_images/cirr_images/dev/dev-115-2-img0.jpg,8:4884,22,248,42,rzen_embed,e5_omni,lamra,0,0,0,0
29,8:30,composition_required,composition_required,multimodal_needed,Add needles.,mbeir_images/cirr_images/dev/dev-1047-2-img1.jpg,8:16784,7,14,11,gemini_embedding_2,vlm2vec_v2,,2,0,0,0
32,8:33,composition_required,composition_required,multimodal_needed,Change to zebras.,mbeir_images/cirr_images/dev/dev-1010-1-img1.jpg,8:14942,7,11,47,qwen3vl8b_vllm,qwen3vl8b_vllm,,5,0,0,0
33,8:34,unresolved,unresolved,multimodal_needed,Only one animal looking at the camera.,mbeir_images/cirr_images/dev/dev-302-3-img0.jpg,8:18695,24,224,235,rzen_embed,rzen_embed,,0,0,0,0
38,8:39,unresolved,unresolved,multimodal_needed,Show the entire closet but in gray.,mbeir_images/cirr_images/dev/dev-117-3-img0.jpg,8:1146,100,62,441,qwen3vl8b_vllm,gemini_embedding_2,,0,0,0,0
44,8:45,composition_required,composition_required,multimodal_needed,"Inside, with food.",mbeir_images/cirr_images/dev/dev-179-1-img0.jpg,8:13168,1,36,109,lamra,qwen3vl2b_vllm,qwen3vl8b_vllm,8,0,0,0
46,8:47,unresolved,unresolved,multimodal_needed,Show a different breed facing left with grass background.,mbeir_images/cirr_images/dev/dev-726-3-img0.jpg,8:12129,84,548,153,qwen3vl2b_vllm,rzen_embed,lamra_qwen25vl,0,0,0,0
49,8:50,unresolved,unresolved,multimodal_needed,Change to monkeys in the same environment.,mbeir_images/cirr_images/dev/dev-564-2-img1.jpg,8:9113,11,54,1839,gemini_embedding_2,qwen3vl8b_vllm,gemini_embedding_2,0,0,0,0
50,8:51,composition_required,composition_required,multimodal_needed,Change to a sitting dog in the same environment.,mbeir_images/cirr_images/dev/dev-355-3-img0.jpg,8:14187,3,206,575,lamra_qwen25vl,voyage_multimodal_35,voyage_multimodal_35,7,0,0,0
51,8:52,unresolved,unresolved,multimodal_needed,Make the man hold something.,mbeir_images/cirr_images/dev/dev-423-3-img0.jpg,8:6260,37,57,204,lamra,lamra,lamra,0,0,0,0
56,8:57,composition_required,composition_required,multimodal_needed,The mattress is on the floor instead of on a bed.,mbeir_images/cirr_images/dev/dev-134-2-img1.jpg,8:2729,8,64,34,mmembed,qwen3vl2b_vllm,mmembed,1,0,0,0
65,8:66,composition_required,composition_required,multimodal_needed,Change the plate to rectangular.,mbeir_images/cirr_images/dev/dev-187-2-img0.jpg,8:10708,4,215,14,qwen3vl2b_vllm,gme_qwen2vl_retriever_2,qwen3vl8b_vllm,2,0,0,0
69,8:70,composition_required,composition_required,multimodal_needed,Show train.,mbeir_images/cirr_images/dev/dev-390-1-img1.jpg,8:1996,1,24,1590,gme_qwen2vl_retriever_2,lamra,rzen_embed,8,0,0,0
74,8:75,unresolved,unresolved,multimodal_needed,Change the mosque to a store front.,mbeir_images/cirr_images/dev/dev-1026-3-img1.jpg,8:7135,56,47,65,lamra,lamra,e5_omni,0,0,0,0
78,8:79,composition_required,composition_required,multimodal_needed,"Change angle of photograph to be more direct head-on, must include red coloured building.",mbeir_images/cirr_images/dev/dev-711-2-img1.jpg,8:12050,3,13,94,mmembed,mmembed,mmembed,1,0,0,0
112,8:113,composition_required,composition_required,multimodal_needed,Remove the catand make the dog younger with his tongue out.,mbeir_images/cirr_images/dev/dev-414-1-img0.jpg,8:10562,1,42,28,gme_qwen2vl_retriever_2,lamra,,8,0,0,0
120,8:121,unresolved,unresolved,multimodal_needed,"No books, some bottles on a supermarket.",mbeir_images/cirr_images/dev/dev-739-1-img0.jpg,8:6363,33,20,713,mmembed,vlm2vec_v2,mmembed,0,0,0,0
121,8:122,composition_required,composition_required,multimodal_needed,The picture is from a library.,mbeir_images/cirr_images/dev/dev-714-2-img1.jpg,8:2354,5,24,221,lamra,e5_omni,lamra,1,0,0,0
122,8:123,unresolved,unresolved,multimodal_needed,The target shows a grocery store.,mbeir_images/cirr_images/dev/dev-5-3-img0.jpg,8:18747,151,71,320,mmembed,rzen_embed,mmembed,0,0,0,0
128,8:129,composition_required,composition_required,multimodal_needed,The target photo is a line of beverage vending machines.,mbeir_images/cirr_images/dev/dev-1031-2-img1.jpg,8:6363,2,11,26,vlm2vec_v2,vlm2vec_v2,lamra_qwen25vl,6,0,0,0
150,8:151,unresolved,unresolved,multimodal_needed,Change the exterior shot to an interior shot of a bar.,mbeir_images/cirr_images/dev/dev-711-0-img1.jpg,8:19321,18,12,167,voyage_multimodal_35,voyage_multimodal_35,qwen3vl2b_vllm,0,0,0,0
170,8:171,composition_required,composition_required,multimodal_needed,"Change to a brighter-furred puppy dog, must be being held up by a person.",mbeir_images/cirr_images/dev/dev-144-3-img0.jpg,8:16939,1,12,26,e5_omni,qwen3vl2b_vllm,gemini_embedding_2,11,0,0,0
183,8:184,composition_required,composition_required,multimodal_needed,Have the dog on the ground with added white fur around nose and feet.,mbeir_images/cirr_images/dev/dev-197-0-img1.jpg,8:11717,1,89,59,gemini_embedding_2,gme_qwen2vl_retriever_2,lamra,1,0,0,0
193,8:194,unresolved,unresolved,multimodal_needed,"Instead of four dogs, just one, and in the field.",mbeir_images/cirr_images/dev/dev-605-2-img1.jpg,8:4292,28,186,775,mmembed,lamra_qwen25vl,,0,0,0,0
194,8:195,composition_required,composition_required,multimodal_needed,One puppy looking at the camera.,mbeir_images/cirr_images/dev/dev-144-3-img0.jpg,8:11717,10,21,93,gemini_embedding_2,gme_qwen2vl_retriever_2,gemini_embedding_2,1,0,0,0
202,8:203,unresolved,unresolved,multimodal_needed,Shape and cork of the container are not same.,mbeir_images/cirr_images/dev/dev-1035-3-img0.jpg,8:15132,89,40,54,lamra_qwen25vl,mmembed,e5_omni,0,0,0,0
203,8:204,unresolved,unresolved,multimodal_needed,Container is placed along with the cover box.,mbeir_images/cirr_images/dev/dev-1035-3-img0.jpg,8:6820,37,64,85,e5_omni,e5_omni,voyage_multimodal_35,0,0,0,0
210,8:211,composition_required,composition_required,multimodal_needed,Show the brown dogs with water and snow behind them.,mbeir_images/cirr_images/dev/dev-846-2-img0.jpg,8:4359,1,38,1341,voyage_multimodal_35,rzen_embed,rzen_embed,1,0,0,0
215,8:216,unresolved,unresolved,multimodal_needed,Put a mountain on the left and blue sky in the background.,mbeir_images/cirr_images/dev/dev-410-2-img0.jpg,8:11729,1106,1026,745,lamra,lamra,lamra_qwen25vl,0,0,0,0
217,8:218,composition_required,composition_required,multimodal_needed,Two dogs sit in front of the gray ledge.,mbeir_images/cirr_images/dev/dev-147-2-img0.jpg,8:4359,7,26,1531,voyage_multimodal_35,lamra_qwen25vl,voyage_multimodal_35,3,0,0,0
221,8:222,composition_required,composition_required,multimodal_needed,Add three birds to the image.,mbeir_images/cirr_images/dev/dev-147-2-img0.jpg,8:3017,2,23,376,lamra_qwen25vl,qwen3vl8b_vllm,lamra_qwen25vl,6,0,0,0
