query_idx,query_id,aggregate_label,aggregate_detail_label,legacy_category,query_text,query_image_ref,primary_pos_cand_id,rank_multimodal,rank_text_only,rank_image_only,best_retriever_multimodal,best_retriever_text_only,best_retriever_image_only,support_multimodal,support_text_only,support_image_only,support_either_unimodal
3,,unresolved,unresolved,multimodal_needed,Can you please add some butter to the mug?,val2014/COCO_val2014_000000245874.jpg,lasco_img_515660,492,996,460,,voyage_multimodal_35,,0,0,0,0
4,,unresolved,unresolved,multimodal_needed,This is an unhealthy meal.,val2014/COCO_val2014_000000245874.jpg,lasco_img_50829,240,116,293,e5_omni,lamra_qwen25vl,qwen3vl8b_vllm,0,0,0,0
5,,composition_required,composition_required,multimodal_needed,A cow is in the photo,val2014/COCO_val2014_000000436127.jpg,lasco_img_208549,3,202,114,mmembed,gme_qwen2vl_retriever_2,gemini_embedding_2,1,0,0,0
6,,unresolved,unresolved,multimodal_needed,The woman has an umbrella in her hand,val2014/COCO_val2014_000000271639.jpg,lasco_img_283217,411,128,3625,lamra_qwen25vl,lamra_qwen25vl,qwen3vl8b_vllm,0,0,0,0
7,,unresolved,unresolved,multimodal_needed,The woman should play frisbee,val2014/COCO_val2014_000000271639.jpg,lasco_img_201561,144,79,1265,gemini_embedding_2,gemini_embedding_2,gemini_embedding_2,0,0,0,0
8,,unresolved,unresolved,multimodal_needed,The skiers shoes are white,val2014/COCO_val2014_000000037846.jpg,lasco_img_412966,218,158,138,lamra,voyage_multimodal_35,mmembed,0,0,0,0
9,,unresolved,unresolved,multimodal_needed,The person is riding the bike,val2014/COCO_val2014_000000028714.jpg,lasco_img_277005,225,344,406,e5_omni,lamra,e5_omni,0,0,0,0
11,,unresolved,unresolved,multimodal_needed,Change the type of meal to breakfast,val2014/COCO_val2014_000000136795.jpg,lasco_img_479448,77,101,1158,mmembed,voyage_multimodal_35,e5_omni,0,0,0,0
13,,composition_required,composition_required,multimodal_needed,He is holding the ski poles,val2014/COCO_val2014_000000037846.jpg,lasco_img_228135,10,96,214,gemini_embedding_2,rzen_embed,gemini_embedding_2,1,0,0,0
15,,unresolved,unresolved,multimodal_needed,Remove all tags from the suitcase,val2014/COCO_val2014_000000505144.jpg,lasco_img_485799,47,34,73,qwen3vl2b_vllm,qwen3vl2b_vllm,gemini_embedding_2,0,0,0,0
16,,unresolved,unresolved,multimodal_needed,What type of vehicle are they traveling in?,val2014/COCO_val2014_000000252294.jpg,lasco_img_311374,413,612,251,lamra,qwen3vl8b_vllm,vlm2vec_v2,0,0,0,0
17,,unresolved,unresolved,multimodal_needed,The people in the picture should not look happy,val2014/COCO_val2014_000000252294.jpg,lasco_img_405183,130,3355,115,,lamra_qwen25vl,,0,0,0,0
18,,unresolved,unresolved,multimodal_needed,The sun is lighting up the street,val2014/COCO_val2014_000000420339.jpg,lasco_img_412975,247,1164,500,gemini_embedding_2,lamra_qwen25vl,voyage_multimodal_35,0,0,0,0
19,,unresolved,unresolved,multimodal_needed,These animals are cows,val2014/COCO_val2014_000000547783.jpg,lasco_img_130527,82,27,525,mmembed,mmembed,rzen_embed,0,0,0,0
20,,unresolved,unresolved,multimodal_needed,Only one animal,val2014/COCO_val2014_000000547783.jpg,lasco_img_443583,17,21,72,e5_omni,e5_omni,e5_omni,0,0,0,0
21,,composition_required,composition_required,multimodal_needed,The sky should be cloudy,val2014/COCO_val2014_000000547783.jpg,lasco_img_382399,8,173,337,gemini_embedding_2,e5_omni,qwen3vl2b_vllm,1,0,0,0
22,,composition_required,composition_required,multimodal_needed,The landforms should be water,val2014/COCO_val2014_000000082933.jpg,lasco_img_526044,5,61,47,gemini_embedding_2,gemini_embedding_2,gemini_embedding_2,2,0,0,0
23,,unresolved,unresolved,multimodal_needed,Can a person go to the right?,val2014/COCO_val2014_000000424333.jpg,lasco_img_432647,275,97,511,lamra_qwen25vl,lamra_qwen25vl,gme_qwen2vl_retriever_2,0,0,0,0
24,,unresolved,unresolved,multimodal_needed,the traffic signs are on the street,val2014/COCO_val2014_000000424333.jpg,lasco_img_224724,526,1606,201,rzen_embed,vlm2vec_v2,vlm2vec_v2,0,0,0,0
26,,unresolved,unresolved,multimodal_needed,He is playing tennis,val2014/COCO_val2014_000000503600.jpg,lasco_img_404145,307,272,560,e5_omni,e5_omni,e5_omni,0,0,0,0
27,,unresolved,unresolved,multimodal_needed,Put the traffic cones on the street,val2014/COCO_val2014_000000077628.jpg,lasco_img_562356,40,571,21,lamra_qwen25vl,qwen3vl2b_vllm,qwen3vl2b_vllm,0,0,0,0
28,,unresolved,unresolved,multimodal_needed,The occupation of the bike riders is none,val2014/COCO_val2014_000000077628.jpg,lasco_img_222370,55,84,61,,rzen_embed,,0,0,0,0
29,,unresolved,unresolved,multimodal_needed,The street lights are not lit up,val2014/COCO_val2014_000000077628.jpg,lasco_img_562356,33,1515,21,e5_omni,qwen3vl2b_vllm,qwen3vl2b_vllm,0,0,0,0
31,,unresolved,unresolved,multimodal_needed,The cops' helmets are black,val2014/COCO_val2014_000000436127.jpg,lasco_img_356612,308,381,663,lamra,lamra,gme_qwen2vl_retriever_2,0,0,0,0
32,,composition_required,composition_required,multimodal_needed,The man doesn't have a beard,val2014/COCO_val2014_000000537124.jpg,lasco_img_331856,5,1314,18,voyage_multimodal_35,qwen3vl2b_vllm,,3,0,0,0
33,,unresolved,unresolved,multimodal_needed,They are playing on a grass court.,val2014/COCO_val2014_000000537124.jpg,lasco_img_175356,598,627,1446,vlm2vec_v2,qwen3vl8b_vllm,lamra,0,0,0,0
38,,unresolved,unresolved,multimodal_needed,The room should have a unified sense of style,val2014/COCO_val2014_000000527464.jpg,lasco_img_373857,19,11,84,gemini_embedding_2,gemini_embedding_2,gme_qwen2vl_retriever_2,0,0,0,0
39,,unresolved,unresolved,multimodal_needed,The darker wall is made of drywall,val2014/COCO_val2014_000000527464.jpg,lasco_img_539439,39,144,130,gemini_embedding_2,lamra_qwen25vl,mmembed,0,0,0,0
41,,unresolved,unresolved,multimodal_needed,He is not eating a healthy breakfast,val2014/COCO_val2014_000000356424.jpg,lasco_img_193565,130,265,61,,qwen3vl8b_vllm,vlm2vec_v2,0,0,0,0
42,,unresolved,unresolved,multimodal_needed,The glass contains beer,val2014/COCO_val2014_000000356424.jpg,lasco_img_276552,182,327,99,qwen3vl8b_vllm,qwen3vl8b_vllm,gme_qwen2vl_retriever_2,0,0,0,0
45,,unresolved,unresolved,multimodal_needed,Change the size of the kitchen to medium,val2014/COCO_val2014_000000329030.jpg,lasco_img_280857,13,62,13,,gme_qwen2vl_retriever_2,,0,0,0,0
46,,composition_required,composition_required,multimodal_needed,Find the picture with no person standing on the road,val2014/COCO_val2014_000000067125.jpg,lasco_img_104758,5,701,27,mmembed,mmembed,vlm2vec_v2,2,0,0,0
48,,unresolved,unresolved,multimodal_needed,It should be a sunny day,val2014/COCO_val2014_000000551669.jpg,lasco_img_293789,424,108,1034,qwen3vl2b_vllm,gme_qwen2vl_retriever_2,lamra,0,0,0,0
49,,unresolved,unresolved,multimodal_needed,Find an image with the sun high in the sky,val2014/COCO_val2014_000000551669.jpg,lasco_img_135566,305,1599,441,lamra_qwen25vl,lamra_qwen25vl,lamra,0,0,0,0
50,,unresolved,unresolved,multimodal_needed,There is no animal in the bowl,val2014/COCO_val2014_000000301421.jpg,lasco_img_86650,64,10319,176,mmembed,vlm2vec_v2,qwen3vl8b_vllm,0,0,0,0
51,,unresolved,unresolved,multimodal_needed,There should be beer in the jars,val2014/COCO_val2014_000000035326.jpg,lasco_img_381037,515,163,1721,qwen3vl2b_vllm,qwen3vl2b_vllm,gme_qwen2vl_retriever_2,0,0,0,0
52,,unresolved,unresolved,multimodal_needed,The tiles should not be lined up to create a continuous pattern,val2014/COCO_val2014_000000035326.jpg,lasco_img_53697,97,4372,57,lamra,gemini_embedding_2,lamra_qwen25vl,0,0,0,0
53,,unresolved,unresolved,multimodal_needed,A not photographer gentlemen,val2014/COCO_val2014_000000093089.jpg,lasco_img_444324,106,70,743,vlm2vec_v2,vlm2vec_v2,e5_omni,0,0,0,0
54,,unresolved,unresolved,multimodal_needed,The clear bottles should be shelved right side-up.,val2014/COCO_val2014_000000454209.jpg,lasco_img_307166,235,123,587,vlm2vec_v2,qwen3vl8b_vllm,qwen3vl2b_vllm,0,0,0,0
58,,unresolved,unresolved,multimodal_needed,The woman is wearing black pants,val2014/COCO_val2014_000000200058.jpg,lasco_img_27569,225,1598,148,gemini_embedding_2,lamra_qwen25vl,mmembed,0,0,0,0
59,,unresolved,unresolved,multimodal_needed,The woman is skiing,val2014/COCO_val2014_000000200058.jpg,lasco_img_181026,341,62,392,e5_omni,e5_omni,,0,0,0,0
63,,unresolved,unresolved,multimodal_needed,This is not a hotel,val2014/COCO_val2014_000000195894.jpg,lasco_img_128014,91,118,158,qwen3vl2b_vllm,lamra_qwen25vl,lamra_qwen25vl,0,0,0,0
64,,unresolved,unresolved,multimodal_needed,The man holds nothing,val2014/COCO_val2014_000000560677.jpg,lasco_img_160351,2251,275,2153,gme_qwen2vl_retriever_2,gemini_embedding_2,gme_qwen2vl_retriever_2,0,0,0,0
69,,unresolved,unresolved,multimodal_needed,He is sitting on a horse,val2014/COCO_val2014_000000489248.jpg,lasco_img_273728,69,17,1475,mmembed,qwen3vl8b_vllm,,0,0,0,0
72,,composition_required,composition_required,multimodal_needed,Change the word on the field to polo,val2014/COCO_val2014_000000071815.jpg,lasco_img_885,2,12,48,rzen_embed,gemini_embedding_2,qwen3vl2b_vllm,6,0,0,0
75,,unresolved,unresolved,multimodal_needed,Two screens are on,val2014/COCO_val2014_000000247130.jpg,lasco_img_222635,253,315,126,qwen3vl2b_vllm,qwen3vl2b_vllm,lamra_qwen25vl,0,0,0,0
76,,unresolved,unresolved,multimodal_needed,The two pictures are in the same place,val2014/COCO_val2014_000000488979.jpg,lasco_img_296176,2243,15675,1890,,e5_omni,qwen3vl8b_vllm,0,0,0,0
77,,unresolved,unresolved,multimodal_needed,There should be no cattle,val2014/COCO_val2014_000000316499.jpg,lasco_img_436511,110,721,844,vlm2vec_v2,lamra,vlm2vec_v2,0,0,0,0
78,,unresolved,unresolved,multimodal_needed,Change the color of the door to brown,val2014/COCO_val2014_000000506595.jpg,lasco_img_149298,344,363,962,qwen3vl2b_vllm,qwen3vl2b_vllm,gemini_embedding_2,0,0,0,0
79,,unresolved,unresolved,multimodal_needed,There is only one vase in this photo,val2014/COCO_val2014_000000506595.jpg,lasco_img_486573,32,147,12,,gme_qwen2vl_retriever_2,gemini_embedding_2,0,0,0,0
80,,unresolved,unresolved,multimodal_needed,There are no two humans in the picture,val2014/COCO_val2014_000000427870.jpg,lasco_img_164475,485,2376,597,gemini_embedding_2,,e5_omni,0,0,0,0
81,,unresolved,unresolved,multimodal_needed,The man in the Whit Gray shirt is standing,val2014/COCO_val2014_000000427870.jpg,lasco_img_434494,2944,414,4082,lamra_qwen25vl,mmembed,lamra_qwen25vl,0,0,0,0
82,,composition_required,composition_required,multimodal_needed,No reflection in the window,val2014/COCO_val2014_000000413600.jpg,lasco_img_178064,7,20,66,rzen_embed,rzen_embed,rzen_embed,3,0,0,0
83,,unresolved,unresolved,multimodal_needed,There are five hats in the picture,val2014/COCO_val2014_000000210883.jpg,lasco_img_240379,498,1931,524,e5_omni,e5_omni,e5_omni,0,0,0,0
84,,unresolved,unresolved,multimodal_needed,This photo was taken in the United States,val2014/COCO_val2014_000000210883.jpg,lasco_img_403054,743,940,1564,rzen_embed,e5_omni,e5_omni,0,0,0,0
85,,unresolved,unresolved,multimodal_needed,The animal in this picture is a cow.,val2014/COCO_val2014_000000210883.jpg,lasco_img_199516,49,93,224,mmembed,gme_qwen2vl_retriever_2,gme_qwen2vl_retriever_2,0,0,0,0
88,,unresolved,unresolved,multimodal_needed,There is fruit and cheese to eat,val2014/COCO_val2014_000000478689.jpg,lasco_img_345559,46,25,65,voyage_multimodal_35,qwen3vl8b_vllm,,0,0,0,0
89,,unresolved,unresolved,multimodal_needed,The frisbee was not just thrown,val2014/COCO_val2014_000000544607.jpg,lasco_img_505223,172,624,162,e5_omni,qwen3vl8b_vllm,e5_omni,0,0,0,0
91,,unresolved,unresolved,multimodal_needed,This is not a church,val2014/COCO_val2014_000000124018.jpg,lasco_img_187890,855,1489,758,lamra_qwen25vl,lamra,lamra_qwen25vl,0,0,0,0
93,,unresolved,unresolved,multimodal_needed,The animals are not fenced in,val2014/COCO_val2014_000000318911.jpg,lasco_img_24207,26,437,24,mmembed,gemini_embedding_2,e5_omni,0,0,0,0
94,,unresolved,unresolved,multimodal_needed,There is one cloud in the sky above the clock tower,val2014/COCO_val2014_000000346587.jpg,lasco_img_324161,38,75,85,lamra_qwen25vl,gme_qwen2vl_retriever_2,gemini_embedding_2,0,0,0,0
96,,composition_required,composition_required,multimodal_needed,There is no man in the room,val2014/COCO_val2014_000000196789.jpg,lasco_img_546428,5,1060,22,vlm2vec_v2,rzen_embed,,2,0,0,0
97,,unresolved,unresolved,multimodal_needed,The person's shirt is brown,val2014/COCO_val2014_000000122120.jpg,lasco_img_280036,536,60,1186,voyage_multimodal_35,e5_omni,vlm2vec_v2,0,0,0,0
98,,unresolved,unresolved,multimodal_needed,This person is not riding on anything,val2014/COCO_val2014_000000122120.jpg,lasco_img_154520,1188,2148,1130,gemini_embedding_2,e5_omni,gemini_embedding_2,0,0,0,0
99,,unresolved,unresolved,multimodal_needed,There are two signs,val2014/COCO_val2014_000000323571.jpg,lasco_img_451373,42,164,112,vlm2vec_v2,mmembed,lamra,0,0,0,0
100,,unresolved,unresolved,multimodal_needed,The sky is blue,val2014/COCO_val2014_000000323571.jpg,lasco_img_253520,173,1300,127,lamra_qwen25vl,qwen3vl2b_vllm,lamra_qwen25vl,0,0,0,0
103,,unresolved,unresolved,multimodal_needed,She is wearing a gray shirt,val2014/COCO_val2014_000000194310.jpg,lasco_img_573536,476,26,875,qwen3vl8b_vllm,qwen3vl2b_vllm,qwen3vl8b_vllm,0,0,0,0
104,,unresolved,unresolved,multimodal_needed,The woman is standing,val2014/COCO_val2014_000000194310.jpg,lasco_img_573536,1194,355,875,,vlm2vec_v2,qwen3vl8b_vllm,0,0,0,0
105,,unresolved,unresolved,multimodal_needed,The item on the left is used for cutting,val2014/COCO_val2014_000000285451.jpg,lasco_img_511674,19,145,285,mmembed,qwen3vl2b_vllm,gemini_embedding_2,0,0,0,0
107,,composition_required,composition_required,multimodal_needed,The poster is saying 'no smoking' backwards,val2014/COCO_val2014_000000285451.jpg,lasco_img_338007,4,22,24,qwen3vl8b_vllm,qwen3vl8b_vllm,gemini_embedding_2,2,0,0,0
109,,unresolved,unresolved,multimodal_needed,This man was not a player before,val2014/COCO_val2014_000000332407.jpg,lasco_img_414709,162,1047,208,rzen_embed,gemini_embedding_2,rzen_embed,0,0,0,0
110,,unresolved,unresolved,multimodal_needed,The sport being played is frisbee,val2014/COCO_val2014_000000332407.jpg,lasco_img_393809,19,21,263,gemini_embedding_2,qwen3vl2b_vllm,e5_omni,0,0,0,0
111,,unresolved,unresolved,multimodal_needed,Paint the hydrant,val2014/COCO_val2014_000000229385.jpg,lasco_img_327149,42,12,14,mmembed,lamra_qwen25vl,mmembed,0,0,0,0
112,,unresolved,unresolved,multimodal_needed,The photographer was not looking down at the red thing,val2014/COCO_val2014_000000229385.jpg,lasco_img_26926,20,348,22,gme_qwen2vl_retriever_2,lamra_qwen25vl,,0,0,0,0
114,,unresolved,unresolved,multimodal_needed,Remove all toilet brushes from the picture,val2014/COCO_val2014_000000145523.jpg,lasco_img_376442,105,46,105,,rzen_embed,,0,0,0,0
115,,unresolved,unresolved,multimodal_needed,Add 0 cups to the picture,val2014/COCO_val2014_000000013473.jpg,lasco_img_214224,471,255,2274,gme_qwen2vl_retriever_2,gme_qwen2vl_retriever_2,gme_qwen2vl_retriever_2,0,0,0,0
120,,unresolved,unresolved,multimodal_needed,Change the lamp post's color to gray,val2014/COCO_val2014_000000474680.jpg,lasco_img_205002,17,382,64,gemini_embedding_2,voyage_multimodal_35,gemini_embedding_2,0,0,0,0
121,,unresolved,unresolved,multimodal_needed,A single exhaust pipe is shown in the photograph,val2014/COCO_val2014_000000474680.jpg,lasco_img_262161,285,200,266,rzen_embed,gme_qwen2vl_retriever_2,lamra_qwen25vl,0,0,0,0
122,,unresolved,unresolved,multimodal_needed,This is the kitchen,val2014/COCO_val2014_000000173968.jpg,lasco_img_241599,273,60,862,gemini_embedding_2,qwen3vl2b_vllm,e5_omni,0,0,0,0
124,,unresolved,unresolved,multimodal_needed,Change the number of pizzas to one,val2014/COCO_val2014_000000273469.jpg,lasco_img_478759,14,173,11,voyage_multimodal_35,gemini_embedding_2,voyage_multimodal_35,0,0,0,0
125,,unresolved,unresolved,multimodal_needed,The racket is black,val2014/COCO_val2014_000000117744.jpg,lasco_img_386879,46,173,32,lamra_qwen25vl,qwen3vl8b_vllm,lamra_qwen25vl,0,0,0,0
126,,unresolved,unresolved,multimodal_needed,The boat is in the water,val2014/COCO_val2014_000000188689.jpg,lasco_img_79837,152,49,116,e5_omni,mmembed,e5_omni,0,0,0,0
127,,unresolved,unresolved,multimodal_needed,The man is young.,val2014/COCO_val2014_000000209018.jpg,lasco_img_118846,164,151,131,mmembed,lamra_qwen25vl,qwen3vl2b_vllm,0,0,0,0
128,,unresolved,unresolved,multimodal_needed,The giraffes are in their natural habitat,val2014/COCO_val2014_000000363319.jpg,lasco_img_122987,374,71,485,mmembed,rzen_embed,e5_omni,0,0,0,0
