dataset,hidden_category,validated,query_idx,query_text,full_text,query_image_ref,target_image_ref,aggregate_label,aggregate_detail_label,aggregate_legacy_category,best_retriever_multimodal,best_retriever_text_only,best_retriever_image_only,support_multimodal,support_text_only,support_image_only,support_either_unimodal,rank_multimodal,rank_text_only,rank_image_only,hit_multimodal,hit_text_only,hit_image_only,invalid_text_query,invalid_image_query,invalid_target_image,query_too_broad,note
circo,composition_required,true,4,is shot from the front and the image is in greyscale,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
is shot from the front and the image is in greyscale",CIRCO/COCO2017_unlabeled/unlabeled2017/000000007705.jpg,CIRCO/COCO2017_unlabeled/unlabeled2017/000000344036.jpg,composition_required,composition_required,multimodal_needed,gme_qwen2vl_retriever_2,rzen_embed,lamra_qwen25vl,10,0,0,0,1,961,19,true,false,false,false,false,false,false,
circo,composition_required,true,12,are eating and the photo shows fewer people,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
are eating and the photo shows fewer people",CIRCO/COCO2017_unlabeled/unlabeled2017/000000155151.jpg,CIRCO/COCO2017_unlabeled/unlabeled2017/000000078096.jpg,composition_required,composition_required,multimodal_needed,lamra_qwen25vl,rzen_embed,qwen3vl8b_vllm,7,0,0,0,1,273,140,true,false,false,false,false,false,false,this requires that the model is able to count people in the image
circo,composition_required,true,21,is resting on a table and the photo has a hot dog instead of a burger,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
is resting on a table and the photo has a hot dog instead of a burger",CIRCO/COCO2017_unlabeled/unlabeled2017/000000198618.jpg,CIRCO/COCO2017_unlabeled/unlabeled2017/000000178832.jpg,composition_required,composition_required,multimodal_needed,gme_qwen2vl_retriever_2,voyage_multimodal_35,qwen3vl8b_vllm,7,0,0,0,1,11,15,true,false,false,false,false,false,false,
circo,composition_required,true,29,is empty and has the lights off,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
is empty and has the lights off",CIRCO/COCO2017_unlabeled/unlabeled2017/000000209213.jpg,CIRCO/COCO2017_unlabeled/unlabeled2017/000000226766.jpg,composition_required,composition_required,multimodal_needed,lamra_qwen25vl,e5_omni,gemini_embedding_2,8,0,0,0,2,40,19,true,false,false,false,false,false,false,
circo,composition_required,true,31,is smaller and there are some sliced carrots,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
is smaller and there are some sliced carrots",CIRCO/COCO2017_unlabeled/unlabeled2017/000000179912.jpg,CIRCO/COCO2017_unlabeled/unlabeled2017/000000182482.jpg,composition_required,composition_required,multimodal_needed,lamra,e5_omni,lamra,3,0,0,0,4,54,19,true,false,false,false,false,false,false,
circo,composition_required,true,32,is taken from the interior of a car,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
is taken from the interior of a car",CIRCO/COCO2017_unlabeled/unlabeled2017/000000258810.jpg,CIRCO/COCO2017_unlabeled/unlabeled2017/000000261215.jpg,composition_required,composition_required,multimodal_needed,mmembed,rzen_embed,qwen3vl8b_vllm,11,0,0,0,1,59,16,true,false,false,false,false,false,false,
circo,composition_required,true,50,is skateboarding and is seen from the front,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
is skateboarding and is seen from the front",CIRCO/COCO2017_unlabeled/unlabeled2017/000000412387.jpg,CIRCO/COCO2017_unlabeled/unlabeled2017/000000329973.jpg,composition_required,composition_required,multimodal_needed,lamra_qwen25vl,e5_omni,qwen3vl8b_vllm,6,0,0,0,1,73,30,true,false,false,false,false,false,false,
circo,composition_required,true,64,is not on a bench and the photo is taken in greyscale,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
is not on a bench and the photo is taken in greyscale",CIRCO/COCO2017_unlabeled/unlabeled2017/000000103052.jpg,CIRCO/COCO2017_unlabeled/unlabeled2017/000000177737.jpg,composition_required,composition_required,multimodal_needed,qwen3vl2b_vllm,voyage_multimodal_35,qwen3vl2b_vllm,3,0,0,0,7,18,77,true,false,false,false,false,false,false,
circo,composition_required,true,78,has more of them and is shot in greyscale,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
has more of them and is shot in greyscale",CIRCO/COCO2017_unlabeled/unlabeled2017/000000516117.jpg,CIRCO/COCO2017_unlabeled/unlabeled2017/000000221035.jpg,composition_required,composition_required,multimodal_needed,gemini_embedding_2,rzen_embed,gemini_embedding_2,8,0,0,0,1,44,159,true,false,false,false,false,false,false,
circo,composition_required,true,80,is next to a bench and the photo is shot outdoors,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
is next to a bench and the photo is shot outdoors",CIRCO/COCO2017_unlabeled/unlabeled2017/000000030285.jpg,CIRCO/COCO2017_unlabeled/unlabeled2017/000000175849.jpg,composition_required,composition_required,multimodal_needed,gme_qwen2vl_retriever_2,rzen_embed,rzen_embed,10,0,0,0,1,352,37,true,false,false,false,false,false,false,
