query_idx,query_id,aggregate_label,aggregate_detail_label,legacy_category,query_text,query_image_ref,primary_pos_cand_id,rank_multimodal,rank_text_only,rank_image_only,best_retriever_multimodal,best_retriever_text_only,best_retriever_image_only,support_multimodal,support_text_only,support_image_only,support_either_unimodal
0,7:1,composition_required,composition_required,multimodal_needed,Is shiny and silver with shorter sleeves and fit and flare.,mbeir_images/fashioniq_images/B005X4PL1G.jpg,7:72781,8,23,3421,gme_qwen2vl_retriever_2,gme_qwen2vl_retriever_2,qwen3vl2b_vllm,1,0,0,0
2,7:3,unresolved,unresolved,multimodal_needed,Is a solid red color and shorter and tighter with more blue and white.,mbeir_images/fashioniq_images/B00BPYP69K.jpg,7:35218,422,832,11198,mmembed,lamra,gme_qwen2vl_retriever_2,0,0,0,0
4,7:5,composition_required,composition_required,multimodal_needed,Has thin straps and different pattern and more autumn colored and longer.,mbeir_images/fashioniq_images/B00FQANLX2.jpg,7:16696,7,171,30,mmembed,mmembed,mmembed,1,0,0,0
5,7:6,unresolved,unresolved,multimodal_needed,Is longer and more sculptural and rushed solid green.,mbeir_images/fashioniq_images/B00CL14N3Q.jpg,7:44815,19,24,725,gemini_embedding_2,e5_omni,voyage_multimodal_35,0,0,0,0
6,7:7,unresolved,unresolved,multimodal_needed,Is gold and strapless and button front longer sleeves.,mbeir_images/fashioniq_images/B009CMY4BS.jpg,7:40643,137,1691,32,,vlm2vec_v2,gemini_embedding_2,0,0,0,0
7,7:8,composition_required,composition_required,multimodal_needed,Is longer and less casual and sleeveless and is a sleeveless black dress.,mbeir_images/fashioniq_images/B00896JPTE.jpg,7:46995,3,126,91,voyage_multimodal_35,qwen3vl2b_vllm,gme_qwen2vl_retriever_2,6,0,0,0
8,7:9,unresolved,unresolved,multimodal_needed,Is longer and more elegant and is longer and sleeveless.,mbeir_images/fashioniq_images/B00F4WI9H0.jpg,7:67651,297,113,4545,voyage_multimodal_35,lamra_qwen25vl,voyage_multimodal_35,0,0,0,0
9,7:10,unresolved,unresolved,multimodal_needed,Has longer sleeves and a different color and has longer sleeves and is more casual.,mbeir_images/fashioniq_images/B000WIRE54.jpg,7:44149,86,7327,829,qwen3vl8b_vllm,gemini_embedding_2,,0,0,0,0
10,7:11,composition_required,composition_required,multimodal_needed,Its blue with higher neckline and is more blue and higher at the neckline.,mbeir_images/fashioniq_images/B009KQVCAM.jpg,7:39774,1,150,27,rzen_embed,vlm2vec_v2,lamra,5,0,0,0
11,7:12,composition_required,composition_required,multimodal_needed,Is softly colored and has no shoulder straps and looser skirt.,mbeir_images/fashioniq_images/B00FHFMMMW.jpg,7:40409,2,33,47,rzen_embed,mmembed,gemini_embedding_2,7,0,0,0
12,7:13,composition_required,composition_required,multimodal_needed,Is white with black polka dots and is not see through.,mbeir_images/fashioniq_images/B00DH06JSW.jpg,7:15492,1,25,500,gemini_embedding_2,lamra,gemini_embedding_2,8,0,0,0
14,7:15,unresolved,unresolved,multimodal_needed,Is more black and elegant and is solid black and has shorter sleeves.,mbeir_images/fashioniq_images/B009DI5YSS.jpg,7:19688,85,176,504,voyage_multimodal_35,voyage_multimodal_35,qwen3vl2b_vllm,0,0,0,0
15,7:16,composition_required,composition_required,multimodal_needed,Is blue print with short sleeves and is a blue print.,mbeir_images/fashioniq_images/B007GB2BZI.jpg,7:56242,1,69,2855,mmembed,gemini_embedding_2,qwen3vl8b_vllm,7,0,0,0
