dataset,hidden_category,validated,query_idx,query_text,full_text,query_image_ref,target_image_ref,aggregate_label,aggregate_detail_label,aggregate_legacy_category,best_retriever_multimodal,best_retriever_text_only,best_retriever_image_only,support_multimodal,support_text_only,support_image_only,support_either_unimodal,rank_multimodal,rank_text_only,rank_image_only,hit_multimodal,hit_text_only,hit_image_only,invalid_text_query,invalid_image_query,invalid_target_image,query_too_broad,note
cirr,composition_required,true,4,Mae the human facing the camera with less gear.,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
Mae the human facing the camera with less gear.",mbeir_images/cirr_images/dev/dev-1042-2-img1.jpg,mbeir_images/cirr_images/dev/dev-940-3-img0.jpg,composition_required,composition_required,multimodal_needed,mmembed,mmembed,mmembed,1,0,0,0,8,12,29,true,false,false,false,false,false,false,
cirr,composition_required,true,29,Add needles.,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
Add needles.",mbeir_images/cirr_images/dev/dev-1047-2-img1.jpg,mbeir_images/cirr_images/dev/dev-221-2-img0.jpg,composition_required,composition_required,multimodal_needed,gemini_embedding_2,vlm2vec_v2,,2,0,0,0,7,14,11,true,false,false,false,false,false,false,
cirr,composition_required,true,50,Change to a sitting dog in the same environment.,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
Change to a sitting dog in the same environment.",mbeir_images/cirr_images/dev/dev-355-3-img0.jpg,mbeir_images/cirr_images/dev/dev-359-2-img0.jpg,composition_required,composition_required,multimodal_needed,lamra_qwen25vl,voyage_multimodal_35,voyage_multimodal_35,7,0,0,0,3,206,575,true,false,false,false,false,false,false,
cirr,composition_required,true,56,The mattress is on the floor instead of on a bed.,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
The mattress is on the floor instead of on a bed.",mbeir_images/cirr_images/dev/dev-134-2-img1.jpg,mbeir_images/cirr_images/dev/dev-384-2-img1.jpg,composition_required,composition_required,multimodal_needed,mmembed,qwen3vl2b_vllm,mmembed,1,0,0,0,8,64,34,true,false,false,false,false,false,false,
cirr,composition_required,true,65,Change the plate to rectangular.,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
Change the plate to rectangular.",mbeir_images/cirr_images/dev/dev-187-2-img0.jpg,mbeir_images/cirr_images/dev/dev-607-3-img0.jpg,composition_required,composition_required,multimodal_needed,qwen3vl2b_vllm,gme_qwen2vl_retriever_2,qwen3vl8b_vllm,2,0,0,0,4,215,14,true,false,false,false,false,false,false,
cirr,composition_required,true,170,"Change to a brighter-furred puppy dog, must be being held up by a person.","Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
Change to a brighter-furred puppy dog, must be being held up by a person.",mbeir_images/cirr_images/dev/dev-144-3-img0.jpg,mbeir_images/cirr_images/dev/dev-197-0-img1.jpg,composition_required,composition_required,multimodal_needed,e5_omni,qwen3vl2b_vllm,gemini_embedding_2,11,0,0,0,1,12,26,true,false,false,false,false,false,false,
cirr,composition_required,true,183,Have the dog on the ground with added white fur around nose and feet.,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
Have the dog on the ground with added white fur around nose and feet.",mbeir_images/cirr_images/dev/dev-197-0-img1.jpg,mbeir_images/cirr_images/dev/dev-125-1-img1.jpg,composition_required,composition_required,multimodal_needed,gemini_embedding_2,gme_qwen2vl_retriever_2,lamra,1,0,0,0,1,89,59,true,false,false,false,false,false,false,
cirr,composition_required,true,210,Show the brown dogs with water and snow behind them.,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
Show the brown dogs with water and snow behind them.",mbeir_images/cirr_images/dev/dev-846-2-img0.jpg,mbeir_images/cirr_images/dev/dev-224-1-img1.jpg,composition_required,composition_required,multimodal_needed,voyage_multimodal_35,rzen_embed,rzen_embed,1,0,0,0,1,38,1341,true,false,false,false,false,false,false,
cirr,composition_required,true,217,Two dogs sit in front of the gray ledge.,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
Two dogs sit in front of the gray ledge.",mbeir_images/cirr_images/dev/dev-147-2-img0.jpg,mbeir_images/cirr_images/dev/dev-224-1-img1.jpg,composition_required,composition_required,multimodal_needed,voyage_multimodal_35,lamra_qwen25vl,voyage_multimodal_35,3,0,0,0,7,26,1531,true,false,false,false,false,false,false,
cirr,composition_required,true,222,Change the crab to a tentacled sea animal.,"Retrieve a day-to-day image that aligns with the modification instructions of the provided image.
Change the crab to a tentacled sea animal.",mbeir_images/cirr_images/dev/dev-147-2-img1.jpg,mbeir_images/cirr_images/dev/dev-740-0-img1.jpg,composition_required,composition_required,multimodal_needed,qwen3vl8b_vllm,gme_qwen2vl_retriever_2,e5_omni,7,0,0,0,2,11,116,true,false,false,false,false,false,false,
