query_idx,query_id,aggregate_label,aggregate_detail_label,legacy_category,query_text,query_image_ref,primary_pos_cand_id,rank_multimodal,rank_text_only,rank_image_only,best_retriever_multimodal,best_retriever_text_only,best_retriever_image_only,support_multimodal,support_text_only,support_image_only,support_either_unimodal
2,,composition_required,composition_required,multimodal_needed,are being used by a person,COCO2017_unlabeled/unlabeled2017/000000002097.jpg,circo_img_295260,1,14,11,lamra_qwen25vl,lamra_qwen25vl,gemini_embedding_2,7,0,0,0
4,,composition_required,composition_required,multimodal_needed,is shot from the front and the image is in greyscale,COCO2017_unlabeled/unlabeled2017/000000007705.jpg,circo_img_344036,1,961,19,gme_qwen2vl_retriever_2,rzen_embed,lamra_qwen25vl,10,0,0,0
12,,composition_required,composition_required,multimodal_needed,are eating and the photo shows fewer people,COCO2017_unlabeled/unlabeled2017/000000155151.jpg,circo_img_78096,1,273,140,lamra_qwen25vl,rzen_embed,qwen3vl8b_vllm,7,0,0,0
21,,composition_required,composition_required,multimodal_needed,is resting on a table and the photo has a hot dog instead of a burger,COCO2017_unlabeled/unlabeled2017/000000198618.jpg,circo_img_178832,1,11,15,gme_qwen2vl_retriever_2,voyage_multimodal_35,qwen3vl8b_vllm,7,0,0,0
29,,composition_required,composition_required,multimodal_needed,is empty and has the lights off,COCO2017_unlabeled/unlabeled2017/000000209213.jpg,circo_img_226766,2,40,19,lamra_qwen25vl,e5_omni,gemini_embedding_2,8,0,0,0
31,,composition_required,composition_required,multimodal_needed,is smaller and there are some sliced carrots,COCO2017_unlabeled/unlabeled2017/000000179912.jpg,circo_img_182482,4,54,19,lamra,e5_omni,lamra,3,0,0,0
32,,composition_required,composition_required,multimodal_needed,is taken from the interior of a car,COCO2017_unlabeled/unlabeled2017/000000258810.jpg,circo_img_261215,1,59,16,mmembed,rzen_embed,qwen3vl8b_vllm,11,0,0,0
40,,composition_required,composition_required,multimodal_needed,has a different color and the photo shows no people and is taken outdoors,COCO2017_unlabeled/unlabeled2017/000000381893.jpg,circo_img_31167,1,133,45,gme_qwen2vl_retriever_2,voyage_multimodal_35,gemini_embedding_2,9,0,0,0
44,,composition_required,composition_required,multimodal_needed,has multiple horses ridden by people,COCO2017_unlabeled/unlabeled2017/000000538294.jpg,circo_img_438725,1,105,58,gemini_embedding_2,e5_omni,mmembed,5,0,0,0
50,,composition_required,composition_required,multimodal_needed,is skateboarding and is seen from the front,COCO2017_unlabeled/unlabeled2017/000000412387.jpg,circo_img_329973,1,73,30,lamra_qwen25vl,e5_omni,qwen3vl8b_vllm,6,0,0,0
53,,composition_required,composition_required,multimodal_needed,"is in color, has a more natural background and shows the sky",COCO2017_unlabeled/unlabeled2017/000000221825.jpg,circo_img_387559,2,98,26,rzen_embed,qwen3vl8b_vllm,rzen_embed,1,0,0,0
55,,composition_required,composition_required,multimodal_needed,"is shirtless, the photo has a darker background and is shot from a closer distance",COCO2017_unlabeled/unlabeled2017/000000453004.jpg,circo_img_427667,4,62,901,gme_qwen2vl_retriever_2,qwen3vl2b_vllm,gme_qwen2vl_retriever_2,3,0,0,0
64,,composition_required,composition_required,multimodal_needed,is not on a bench and the photo is taken in greyscale,COCO2017_unlabeled/unlabeled2017/000000103052.jpg,circo_img_177737,7,18,77,qwen3vl2b_vllm,voyage_multimodal_35,qwen3vl2b_vllm,3,0,0,0
75,,composition_required,composition_required,multimodal_needed,has people in the background and the glass is on a bar counter,COCO2017_unlabeled/unlabeled2017/000000277153.jpg,circo_img_380961,1,27,26,rzen_embed,qwen3vl8b_vllm,e5_omni,7,0,0,0
78,,composition_required,composition_required,multimodal_needed,has more of them and is shot in greyscale,COCO2017_unlabeled/unlabeled2017/000000516117.jpg,circo_img_221035,1,44,159,gemini_embedding_2,rzen_embed,gemini_embedding_2,8,0,0,0
80,,composition_required,composition_required,multimodal_needed,is next to a bench and the photo is shot outdoors,COCO2017_unlabeled/unlabeled2017/000000030285.jpg,circo_img_175849,1,352,37,gme_qwen2vl_retriever_2,rzen_embed,rzen_embed,10,0,0,0
85,,composition_required,composition_required,multimodal_needed,has a big white palace in the background,COCO2017_unlabeled/unlabeled2017/000000496721.jpg,circo_img_335295,1,13,29,mmembed,e5_omni,e5_omni,10,0,0,0
