dataset,hidden_category,validated,query_idx,query_text,full_text,query_image_ref,target_image_ref,aggregate_label,aggregate_detail_label,aggregate_legacy_category,best_retriever_multimodal,best_retriever_text_only,best_retriever_image_only,support_multimodal,support_text_only,support_image_only,support_either_unimodal,rank_multimodal,rank_text_only,rank_image_only,hit_multimodal,hit_text_only,hit_image_only,invalid_text_query,invalid_image_query,invalid_target_image,query_too_broad,note
lasco,composition_required,true,46,Find the picture with no person standing on the road,Find the picture with no person standing on the road,LASCO/val2014/COCO_val2014_000000067125.jpg,LASCO/val2014/COCO_val2014_000000104758.jpg,composition_required,composition_required,multimodal_needed,mmembed,mmembed,vlm2vec_v2,2,0,0,0,5,701,27,true,false,false,false,false,false,false,
lasco,composition_required,true,72,Change the word on the field to polo,Change the word on the field to polo,LASCO/val2014/COCO_val2014_000000071815.jpg,LASCO/val2014/COCO_val2014_000000000885.jpg,composition_required,composition_required,multimodal_needed,rzen_embed,gemini_embedding_2,qwen3vl2b_vllm,6,0,0,0,2,12,48,true,false,false,false,false,false,false,
lasco,composition_required,true,308,Change the color of the guy's coat in the back to be blue,Change the color of the guy's coat in the back to be blue,LASCO/val2014/COCO_val2014_000000210857.jpg,LASCO/val2014/COCO_val2014_000000381032.jpg,composition_required,composition_required,multimodal_needed,rzen_embed,qwen3vl8b_vllm,gme_qwen2vl_retriever_2,3,0,0,0,7,2223,36,true,false,false,false,false,false,false,
lasco,composition_required,true,309,There should be eight people wearing hats,There should be eight people wearing hats,LASCO/val2014/COCO_val2014_000000210857.jpg,LASCO/val2014/COCO_val2014_000000018224.jpg,composition_required,composition_required,multimodal_needed,mmembed,qwen3vl2b_vllm,gemini_embedding_2,3,0,0,0,2,1599,17,true,false,false,false,false,false,false,
lasco,composition_required,true,330,The number of people in the image should be 2,The number of people in the image should be 2,LASCO/val2014/COCO_val2014_000000414249.jpg,LASCO/val2014/COCO_val2014_000000527270.jpg,composition_required,composition_required,multimodal_needed,qwen3vl2b_vllm,qwen3vl2b_vllm,vlm2vec_v2,1,0,0,0,4,166,58,true,false,false,false,false,false,false,
lasco,composition_required,true,376,Six cabinets are located above the person,Six cabinets are located above the person,LASCO/val2014/COCO_val2014_000000209468.jpg,LASCO/val2014/COCO_val2014_000000087052.jpg,composition_required,composition_required,multimodal_needed,vlm2vec_v2,gemini_embedding_2,gemini_embedding_2,1,0,0,0,10,230,13,true,false,false,false,false,false,false,
lasco,composition_required,true,381,This animal is a dog,This animal is a dog,LASCO/val2014/COCO_val2014_000000472795.jpg,LASCO/val2014/COCO_val2014_000000356406.jpg,composition_required,composition_required,multimodal_needed,lamra_qwen25vl,qwen3vl2b_vllm,vlm2vec_v2,1,0,0,0,5,184,77,true,false,false,false,false,false,false,
lasco,composition_required,true,392,The boys shirt should be white,The boys shirt should be white,LASCO/val2014/COCO_val2014_000000226020.jpg,LASCO/val2014/COCO_val2014_000000159898.jpg,composition_required,composition_required,multimodal_needed,lamra,e5_omni,gemini_embedding_2,6,0,0,0,2,63,12,true,false,false,false,false,false,false,
lasco,composition_required,true,404,they are playing tennis,they are playing tennis,LASCO/val2014/COCO_val2014_000000227879.jpg,LASCO/val2014/COCO_val2014_000000410496.jpg,composition_required,composition_required,multimodal_needed,qwen3vl8b_vllm,vlm2vec_v2,e5_omni,1,0,0,0,10,56,281,true,false,false,false,false,false,false,
lasco,composition_required,true,573,change the number of different fruits to 7,change the number of different fruits to 7,LASCO/val2014/COCO_val2014_000000192871.jpg,LASCO/val2014/COCO_val2014_000000571279.jpg,composition_required,composition_required,multimodal_needed,rzen_embed,qwen3vl2b_vllm,rzen_embed,1,0,0,0,7,27,17,true,false,false,false,false,false,false,
